"","system","country","origin","status","url","class","Date"
"232","BRDM-2","Ukraine","Soviet Union","abandoned","https://web.archive.org/web/20220306205522/https://i.postimg.cc/zGQd8V3S/4437.png","Armoured Fighting Vehicles","03/06/2022"
"233","BRDM-2","Ukraine","Soviet Union","abandoned","https://web.archive.org/web/20220306205522/https://i.postimg.cc/x1q26JWK/443o.png","Armoured Fighting Vehicles","03/06/2022"
"234","BRDM-2","Ukraine","Soviet Union","destroyed","https://web.archive.org/web/20220306205522/https://i.postimg.cc/gk37TCky/57h.png","Armoured Fighting Vehicles","03/06/2022"
"235","BRDM-2","Ukraine","Soviet Union","abandoned","https://web.archive.org/web/20220306205522/https://i.postimg.cc/TYfDBCPr/577.png","Armoured Fighting Vehicles","03/06/2022"
"236","BRDM-2","Ukraine","Soviet Union","abandoned","https://web.archive.org/web/20220306205522/https://i.postimg.cc/cLp0yYYV/795.png","Armoured Fighting Vehicles","03/06/2022"
"237","BRDM-2","Ukraine","Soviet Union","destroyed","https://web.archive.org/web/20220306205522/https://i.postimg.cc/Ghhp2XG1/n6.png","Armoured Fighting Vehicles","03/06/2022"
"238","BRDM-2","Ukraine","Soviet Union","destroyed","https://web.archive.org/web/20220306205522/https://i.postimg.cc/zB37hLrN/s3.png","Armoured Fighting Vehicles","03/06/2022"
"239","BRDM-2","Ukraine","Soviet Union","abandoned","https://web.archive.org/web/20220306205522/https://i.postimg.cc/KYF1K5KZ/5547.png","Armoured Fighting Vehicles","03/06/2022"
"240","BREM-1 armoured recovery vehicle","Russia","Soviet Union","captured","https://web.archive.org/web/20220306205522/https://i.postimg.cc/jjCsCJcK/4f1.png","Engineering Vehicles","03/06/2022"
"241","BREM-K armoured recovery vehicle","Russia","Russia","captured","https://web.archive.org/web/20220306205522/https://i.postimg.cc/QCTQ7QCg/Screenshot-8472.png","Engineering Vehicles","03/06/2022"
"242","BREM-K armoured recovery vehicle","Russia","Russia","captured","https://web.archive.org/web/20220306205522/https://i.postimg.cc/mkmwnq7g/760.png","Engineering Vehicles","03/06/2022"
"243","BRM-1K","Russia","Soviet Union","destroyed","https://web.archive.org/web/20220306205522/https://i.postimg.cc/BnvpzjP1/s21.png","Armoured Fighting Vehicles","03/06/2022"
"244","BRM-1K","Russia","Soviet Union","destroyed","https://web.archive.org/web/20220306205522/https://postimg.cc/bGSbfRQm","Armoured Fighting Vehicles","03/06/2022"
"245","BRM-1K","Russia","Soviet Union","destroyed","https://web.archive.org/web/20220306205522/https://i.postimg.cc/gj3KbRGG/fsl.png","Armoured Fighting Vehicles","03/06/2022"
"246","BRM-1K","Ukraine","Soviet Union","damaged","https://web.archive.org/web/20220306205522/https://i.postimg.cc/tC4jmbcK/446.png","Armoured Fighting Vehicles","03/06/2022"
"247","BRM-1K","Ukraine","Soviet Union","captured","https://web.archive.org/web/20220306205522/https://i.postimg.cc/0Q71gWbb/652.png","Armoured Fighting Vehicles","03/06/2022"
"248","BRM-1K","Ukraine","Soviet Union","captured","https://web.archive.org/web/20220306205522/https://i.postimg.cc/ZnMyg04W/6669.jpg ","Armoured Fighting Vehicles","03/06/2022"
"249","BSEM-4K","Ukraine","Ukraine","destroyed","https://web.archive.org/web/20220306205522/https://i.postimg.cc/5yjhTNPP/Screenshot-8306.png","Armoured Fighting Vehicles","03/06/2022"
"250","BTR-3","Ukraine","Ukraine","destroyed","https://web.archive.org/web/20220306205522/https://i.postimg.cc/Cx33pLj5/4482.png","Infantry Fighting Vehicles","03/06/2022"
"251","BTR-3","Ukraine","Ukraine","captured","https://web.archive.org/web/20220306205522/https://i.postimg.cc/wv6zrZdn/Screenshot-8248.png ","Infantry Fighting Vehicles","03/06/2022"
"252","BTR-3","Ukraine","Ukraine","captured","https://web.archive.org/web/20220306205522/https://i.postimg.cc/m2kRmDDP/g789.png","Infantry Fighting Vehicles","03/06/2022"
"253","BTR-4","Ukraine","Ukraine","captured","https://web.archive.org/web/20220306205522/https://i.postimg.cc/tCP3NpHR/c1.png","Infantry Fighting Vehicles","03/06/2022"
"254","BTR-4","Ukraine","Ukraine","captured","https://web.archive.org/web/20220306205522/https://i.postimg.cc/Nf0nwQN3/c4.png","Infantry Fighting Vehicles","03/06/2022"
"255","BTR-4","Ukraine","Ukraine","captured","https://web.archive.org/web/20220306205522/https://i.postimg.cc/XJv4gt66/Screenshot-8643.png","Infantry Fighting Vehicles","03/06/2022"
"256","BTR-4","Ukraine","Ukraine","captured","https://web.archive.org/web/20220306205522/https://i.postimg.cc/tCmMq8wY/c5.png","Infantry Fighting Vehicles","03/06/2022"
"257","BTR-4","Ukraine","Ukraine","captured","https://web.archive.org/web/20220306205522/https://i.postimg.cc/QCfnWzMY/c3.png","Infantry Fighting Vehicles","03/06/2022"
"258","BTR-4","Ukraine","Ukraine","captured","https://web.archive.org/web/20220306205522/https://i.postimg.cc/htB9C6SL/c2.png","Infantry Fighting Vehicles","03/06/2022"
"259","BTR-4","Ukraine","Ukraine","abandoned","https://web.archive.org/web/20220306205522/https://i.postimg.cc/prqTHBXt/98.jpg","Infantry Fighting Vehicles","03/06/2022"
"260","BTR-4","Ukraine","Ukraine","destroyed","https://web.archive.org/web/20220306205522/https://i.postimg.cc/W42RL0Ld/5554.png","Infantry Fighting Vehicles","03/06/2022"
"261","BTR-4","Ukraine","Ukraine","captured","https://web.archive.org/web/20220306205522/https://i.postimg.cc/hvD5vnK7/c2.png","Infantry Fighting Vehicles","03/06/2022"
"262","BTR-4","Ukraine","Ukraine","destroyed","https://web.archive.org/web/20220306205522/https://i.postimg.cc/7brvpRmG/665333.png","Infantry Fighting Vehicles","03/06/2022"
"263","BTR-4","Ukraine","Ukraine","captured","https://web.archive.org/web/20220306205522/https://i.postimg.cc/wBxnxNsW/5g.png","Infantry Fighting Vehicles","03/06/2022"
"264","BTR-4","Ukraine","Ukraine","abandoned","https://web.archive.org/web/20220306205522/https://i.postimg.cc/mkdGX6cb/447.png","Infantry Fighting Vehicles","03/06/2022"
"265","BTR-4","Ukraine","Ukraine","destroyed","https://web.archive.org/web/20220306205522/https://i.postimg.cc/bYFbd2PW/6658.png","Infantry Fighting Vehicles","03/06/2022"
"266","BTR-4","Ukraine","Ukraine","destroyed","https://web.archive.org/web/20220306205522/https://i.postimg.cc/LXydxZVY/Screenshot-8305.png","Infantry Fighting Vehicles","03/06/2022"
