"","country","system","abandoned","damaged","captured","destroyed","total","Date"
"133","Ukraine","1 R-145BMA command vehicle",0,0,1,1,2,"02/28/2024"
"134","Ukraine","1 R-161 signals vehicle",0,0,0,1,1,"02/28/2024"
"135","Ukraine","1 R-325BMV jamming station",0,0,0,1,1,"02/28/2024"
"136","Ukraine","1 R-330M1P Diabazol",0,0,0,1,1,"02/28/2024"
"137","Ukraine","1 R-405M radio station vehicle",0,0,0,1,1,"02/28/2024"
"138","Ukraine","1 R-409A radio station vehicle",0,0,0,1,1,"02/28/2024"
"139","Ukraine","1 R-441 SatCom station",0,0,0,1,1,"02/28/2024"
"140","Ukraine","1 R-845 radio station",0,0,0,1,1,"02/28/2024"
"141","Ukraine","1 RB-109A Bylina EW system",0,0,0,1,1,"02/28/2024"
"142","Ukraine","1 RP-377LA Lorandit",0,0,0,1,1,"02/28/2024"
"143","Ukraine","1 RQ-35 Heidrun",0,0,0,1,1,"02/28/2024"
"144","Ukraine","1 Radio relay station for the TB2 UCAV",0,0,0,1,1,"02/28/2024"
"145","Ukraine","1 Raybird-3",0,0,0,1,1,"02/28/2024"
"146","Ukraine","1 Renault TRM-2000",0,0,0,1,1,"02/28/2024"
"147","Ukraine","1 SkyGuard Aspide control station",0,0,0,1,1,"02/28/2024"
"148","Ukraine","1 Sobolyatnik 1L277 portable ground reconnaissance radar",0,0,0,1,1,"02/28/2024"
"149","Ukraine","1 Su-24MR tactical reconnaissance aircraft",0,0,0,1,1,"02/28/2024"
"150","Ukraine","1 Su-34M strike aircraft",0,0,0,1,1,"02/28/2024"
"151","Ukraine","1 Sych",0,0,0,1,1,"02/28/2024"
"152","Ukraine","1 T-90AK",0,0,1,0,1,"02/28/2024"
"153","Ukraine","1 TDA-M mobile smoke generator",0,0,0,1,1,"02/28/2024"
"154","Ukraine","1 TMM-3M1 bridge layer",0,0,1,0,1,"02/28/2024"
"155","Ukraine","1 TRML-4D multi-functional radar (for IRIS-T SLM)",0,1,0,0,1,"02/28/2024"
"156","Ukraine","1 TZM 9T234-2 transporter-loader (for BM-30 Smerch)",0,0,0,1,1,"02/28/2024"
"157","Ukraine","1 Tu-95MS strategic bomber",0,1,0,0,1,"02/28/2024"
"158","Ukraine","1 UAZ-3151",0,0,0,1,1,"02/28/2024"
"159","Ukraine","1 UAZ-31514",0,0,1,0,1,"02/28/2024"
"160","Ukraine","1 UAZ-3153",0,0,0,1,1,"02/28/2024"
"161","Ukraine","1 UAZ-515195 'Esaul'",0,0,0,1,1,"02/28/2024"
"162","Ukraine","1 UMP-350 engine heater",0,0,1,0,1,"02/28/2024"
"163","Ukraine","1 UMS-600 patrol boat (Sea Guard)",0,0,1,0,1,"02/28/2024"
"164","Ukraine","1 UR-77 Meteorit",0,0,0,1,1,"02/28/2024"
"165","Ukraine","1 Unknown BMP-3 or BMD-4M",0,0,0,1,1,"02/28/2024"
"166","Ukraine","1 Unknown UAV control station",0,0,0,1,1,"02/28/2024"
"167","Ukraine","1 Unknown artillery command vehicle based on MT-LBu",0,0,1,0,1,"02/28/2024"
"168","Ukraine","1 Unknown boat",0,1,0,0,1,"02/28/2024"
"169","Ukraine","1 Unknown command vehicle on GAZ Tigr chassis",0,0,0,1,1,"02/28/2024"
"170","Ukraine","1 Unknown fighter jet",0,0,0,2,2,"02/28/2024"
"171","Ukraine","1 Unknown patrol boat (Sea Guard)",0,0,1,0,1,"02/28/2024"
"172","Ukraine","1 Unknown vehicle with unidentified radar or electronic warfare equipment",0,0,0,1,1,"02/28/2024"
"173","Ukraine","1 Ural-375D tanker",0,0,1,0,1,"02/28/2024"
"174","Ukraine","1 Ural-375D with 8T210 crane",0,0,1,0,1,"02/28/2024"
"175","Ukraine","1 Ural-4320 with Zu-23-2",0,0,0,1,1,"02/28/2024"
"176","Ukraine","1 Ural-43206 with 23mm ZU-23-2",0,0,0,1,1,"02/28/2024"
