"","country","system","damaged","captured","abandoned","destroyed","total","Date"
"135","Ukraine","1 Su-24MR tactical reconnaissance aircraft",0,0,0,1,1,"12/27/2023"
"136","Ukraine","1 Su-34M strike aircraft",0,0,0,1,1,"12/27/2023"
"137","Ukraine","1 T-64BVK",0,0,0,1,1,"12/27/2023"
"138","Ukraine","1 T-90AK",0,1,0,0,1,"12/27/2023"
"139","Ukraine","1 TDA-3 mobile smoke generator",0,0,0,1,1,"12/27/2023"
"140","Ukraine","1 TDA-M mobile smoke generator",0,0,0,1,1,"12/27/2023"
"141","Ukraine","1 TRML-4D multi-functional radar (for IRIS-T SLM)",1,0,0,0,1,"12/27/2023"
"142","Ukraine","1 TZM 9T234-2 transporter-loader (for BM-30 Smerch)",0,0,0,1,1,"12/27/2023"
"143","Ukraine","1 Tu-95MS strategic bomber",1,0,0,0,1,"12/27/2023"
"144","Ukraine","1 UAZ-3151",0,0,0,1,1,"12/27/2023"
"145","Ukraine","1 UAZ-31514",0,1,0,0,1,"12/27/2023"
"146","Ukraine","1 UAZ-515195 'Esaul'",0,0,0,1,1,"12/27/2023"
"147","Ukraine","1 UMP-350 engine heater",0,1,0,0,1,"12/27/2023"
"148","Ukraine","1 UMS-600 patrol boat (Sea Guard)",0,1,0,0,1,"12/27/2023"
"149","Ukraine","1 UR-77 Meteorit",0,0,0,1,1,"12/27/2023"
"150","Ukraine","1 Unknown UAV control station",0,0,0,1,1,"12/27/2023"
"151","Ukraine","1 Unknown command vehicle on GAZ Tigr chassis",0,0,0,1,1,"12/27/2023"
"152","Ukraine","1 Unknown fighter jet",0,0,0,2,2,"12/27/2023"
"153","Ukraine","1 Unknown patrol boat (Sea Guard)",0,1,0,0,1,"12/27/2023"
"154","Ukraine","1 Ural-375D tanker",0,1,0,0,1,"12/27/2023"
"155","Ukraine","1 Ural-375D with 8T210 crane",0,1,0,0,1,"12/27/2023"
"156","Ukraine","1 Ural-43206 with 23mm ZU-23-2",0,0,0,1,1,"12/27/2023"
"157","Ukraine","1 Ural-63501-AT",0,0,0,1,1,"12/27/2023"
"158","Ukraine","1 Uran-6 mine-clearing robotic system",0,0,0,1,1,"12/27/2023"
"159","Ukraine","1 Wisent 1 mine-clearing tank",0,0,0,1,1,"12/27/2023"
"160","Ukraine","1 ZiL-4331",0,1,0,0,1,"12/27/2023"
