"","system","country","origin","status","url","class","Date"
"18","9K33 Osa",NA,"Soviet Union","destroyed","https://web.archive.org/web/20220227175728/https://i.postimg.cc/ncjkcdJN/589.png","Trucks, Vehicles, and Jeeps","02/27/2022"
"19","9K33 Osa",NA,"Soviet Union","destroyed","https://web.archive.org/web/20220227175728/https://i.postimg.cc/wM1d9gZR/b8.png","Trucks, Vehicles, and Jeeps","02/27/2022"
"20","9M113 Konkurs",NA,"Soviet Union","captured","https://web.archive.org/web/20220227175728/https://i.postimg.cc/1RfB2NxM/347.png","Anti-Tank Guided Missiles","02/27/2022"
"21","9P149 Shturm-S ATGM carrier",NA,"Soviet Union","destroyed","https://web.archive.org/web/20220227175728/https://i.postimg.cc/FKPZs7Ws/874.png","Armoured Fighting Vehicles","02/27/2022"
"22","9T452 transporter-loader (for BM-27 'Uragan' MRL)",NA,"Soviet Union","destroyed","https://web.archive.org/web/20220227175728/https://i.postimg.cc/QNzHJ4Yk/n2.png","Trucks, Vehicles, and Jeeps","02/27/2022"
"23","9М131F Metis-M1",NA,"Soviet Union","captured","https://web.archive.org/web/20220227175728/https://i.postimg.cc/kMwP5WQ0/8k.png","Anti-Tank Guided Missiles","02/27/2022"
"24","An-26 transport aircraft",NA,"Soviet Union","destroyed","https://web.archive.org/web/20220227175728/https://i.postimg.cc/R0ppMFNQ/448.png","Aircraft","02/27/2022"
"25","An-26 transport aircraft",NA,"Soviet Union","destroyed","https://web.archive.org/web/20220227175728/https://i.postimg.cc/rmdB2PLQ/489.png","Aircraft","02/27/2022"
"26","BMD-4M",NA,"Russia","abandoned"," https://i.postimg.cc/MZy05BrN/674.png ","Infantry Fighting Vehicles","02/27/2022"
"27","BMD-4M",NA,"Russia","destroyed","https://web.archive.org/web/20220227175728/https://i.postimg.cc/gjmtWttx/548.png","Infantry Fighting Vehicles","02/27/2022"
"28","BMP-2",NA,"Soviet Union","captured","https://web.archive.org/web/20220227175728/https://i.postimg.cc/QtN7DcKC/559.png","Infantry Fighting Vehicles","02/27/2022"
"29","BMP-2",NA,"Soviet Union","damaged","https://web.archive.org/web/20220227175728/https://i.postimg.cc/vBy9TRg0/77699.png","Infantry Fighting Vehicles","02/27/2022"
"30","BMP-2",NA,"Soviet Union","damaged","https://web.archive.org/web/20220227175728/https://i.postimg.cc/XYyYKfsy/Screenshot-8236.png","Infantry Fighting Vehicles","02/27/2022"
"31","BMP-2",NA,"Soviet Union","captured","https://web.archive.org/web/20220227175728/https://i.postimg.cc/T1HJcX0f/776.png","Infantry Fighting Vehicles","02/27/2022"
"32","BMP-2",NA,"Soviet Union","abandoned","https://web.archive.org/web/20220227175728/https://i.postimg.cc/tJM8dQNL/h77.png","Infantry Fighting Vehicles","02/27/2022"
"33","BMP-2",NA,"Soviet Union","destroyed","https://web.archive.org/web/20220227175728/https://i.postimg.cc/26qYmmgL/668.png","Infantry Fighting Vehicles","02/27/2022"
"34","BMP-2",NA,"Soviet Union","destroyed","https://web.archive.org/web/20220227175728/https://i.postimg.cc/TYZ72Ps8/77690.png","Infantry Fighting Vehicles","02/27/2022"
"35","BMP-2",NA,"Soviet Union","abandoned","https://web.archive.org/web/20220227175728/https://i.postimg.cc/xT3v6qKT/4470.png ","Infantry Fighting Vehicles","02/27/2022"
"36","BMP-2",NA,"Soviet Union","captured","https://web.archive.org/web/20220227175728/https://i.postimg.cc/Zn38wp9q/680.png","Infantry Fighting Vehicles","02/27/2022"
"37","BMP-2",NA,"Soviet Union","destroyed","https://web.archive.org/web/20220227175728/https://i.postimg.cc/RCtc2sB0/554.png","Infantry Fighting Vehicles","02/27/2022"
"38","BMP-2",NA,"Soviet Union","abandoned","https://web.archive.org/web/20220227175728/https://i.postimg.cc/BQzv1YB0/Screenshot-8238.png","Infantry Fighting Vehicles","02/27/2022"
"39","BRDM-2",NA,"Soviet Union","abandoned","https://web.archive.org/web/20220227175728/https://i.postimg.cc/x1Pz37Vk/5577.png","Armoured Fighting Vehicles","02/27/2022"
