"","latitude","longitude","brightness","scan","track","acq_date","acq_time","satellite","instrument","confidence","version","bright_t31","frp","daynight"
"101",48.77755,10.70121,298.95,0.61,0.53,2022-03-14,35,1,"VIIRS","n","2.0NRT",263.84,1.14,"N"
"102",48.27711,14.33116,303.52,0.41,0.45,2022-03-14,35,1,"VIIRS","n","2.0NRT",276.75,4.2,"N"
"103",48.2794,14.33658,338.41,0.41,0.45,2022-03-14,35,1,"VIIRS","n","2.0NRT",280.37,3.8,"N"
"104",48.27618,14.34236,311.67,0.41,0.45,2022-03-14,35,1,"VIIRS","n","2.0NRT",275.89,4.2,"N"
"105",48.51424,10.85474,301.89,0.6,0.53,2022-03-14,35,1,"VIIRS","n","2.0NRT",261.61,1.4,"N"
"106",48.27664,14.33676,367,0.41,0.45,2022-03-14,35,1,"VIIRS","h","2.0NRT",280.88,4.2,"N"
"107",48.28078,14.33757,307.44,0.41,0.45,2022-03-14,35,1,"VIIRS","n","2.0NRT",276.8,4.2,"N"
"108",49.16919,24.25081,299.33,0.39,0.36,2022-03-14,35,1,"VIIRS","n","2.0NRT",267.9,0.63,"N"
"109",48.61221,21.19199,301.94,0.39,0.36,2022-03-14,35,1,"VIIRS","n","2.0NRT",273.11,1.56,"N"
"110",48.60715,21.17933,327.83,0.39,0.36,2022-03-14,35,1,"VIIRS","n","2.0NRT",272.44,4.14,"N"
"111",44.73597,37.80596,309.18,0.53,0.67,2022-03-14,35,1,"VIIRS","n","2.0NRT",271.49,2.44,"N"
"112",44.73567,37.80583,313.04,0.53,0.67,2022-03-14,35,1,"VIIRS","n","2.0NRT",272.86,2.63,"N"
"113",48.99129,25.02823,301.8,0.4,0.37,2022-03-14,35,1,"VIIRS","n","2.0NRT",267.57,0.85,"N"
"114",49.68098,18.66279,332.4,0.45,0.39,2022-03-14,35,1,"VIIRS","n","2.0NRT",275.39,6.01,"N"
"115",49.2186,16.77471,301.67,0.51,0.41,2022-03-14,35,1,"VIIRS","n","2.0NRT",275.08,1.54,"N"
"116",49.95624,9.76733,308.99,0.34,0.56,2022-03-14,35,1,"VIIRS","n","2.0NRT",271.29,1.05,"N"
"117",49.8142,18.31705,295.28,0.46,0.39,2022-03-14,35,1,"VIIRS","n","2.0NRT",270.38,0.68,"N"
"118",49.6817,18.65662,327.65,0.45,0.39,2022-03-14,35,1,"VIIRS","n","2.0NRT",275.17,6.01,"N"
"119",49.78309,18.32257,298.28,0.46,0.39,2022-03-14,35,1,"VIIRS","n","2.0NRT",270.15,0.69,"N"
"120",51.85995,15.01332,303.89,0.42,0.46,2022-03-14,35,1,"VIIRS","n","2.0NRT",265.07,0.91,"N"
"121",50.41735,18.1496,305.33,0.47,0.4,2022-03-14,35,1,"VIIRS","n","2.0NRT",269.28,1.01,"N"
"122",50.0742,20.09732,297.62,0.42,0.37,2022-03-14,35,1,"VIIRS","n","2.0NRT",272.33,0.83,"N"
"123",49.45256,23.85836,303.79,0.39,0.36,2022-03-14,35,1,"VIIRS","n","2.0NRT",265.18,0.71,"N"
"124",49.54396,23.59528,296.48,0.39,0.36,2022-03-14,35,1,"VIIRS","n","2.0NRT",265.75,0.55,"N"
"125",50.41446,18.14194,297.47,0.47,0.4,2022-03-14,35,1,"VIIRS","n","2.0NRT",272.83,1.22,"N"
"126",50.36219,18.6038,296.36,0.46,0.39,2022-03-14,35,1,"VIIRS","n","2.0NRT",270.82,0.91,"N"
"127",51.69065,15.98084,347.39,0.39,0.44,2022-03-14,35,1,"VIIRS","n","2.0NRT",276.12,10.56,"N"
"128",50.74578,17.23466,301.29,0.51,0.41,2022-03-14,35,1,"VIIRS","n","2.0NRT",268.68,0.97,"N"
"129",50.33612,19.2809,298.55,0.44,0.38,2022-03-14,35,1,"VIIRS","n","2.0NRT",272.96,1.16,"N"
"130",50.42171,18.14398,310.21,0.47,0.4,2022-03-14,35,1,"VIIRS","n","2.0NRT",272.56,1.68,"N"
"131",50.41809,18.14296,298.26,0.47,0.4,2022-03-14,35,1,"VIIRS","n","2.0NRT",275.79,1.22,"N"
"132",50.4903,19.46786,304.19,0.43,0.38,2022-03-14,35,1,"VIIRS","n","2.0NRT",270.5,0.98,"N"
"133",50.34057,19.3333,297.16,0.44,0.38,2022-03-14,35,1,"VIIRS","n","2.0NRT",274.6,1.4,"N"
"134",50.34506,19.29627,310.13,0.44,0.38,2022-03-14,35,1,"VIIRS","n","2.0NRT",271.67,1.38,"N"
"135",50.34325,19.34004,307.86,0.43,0.38,2022-03-14,35,1,"VIIRS","n","2.0NRT",275.31,2.72,"N"
"136",50.53682,17.97537,301.72,0.48,0.4,2022-03-14,35,1,"VIIRS","n","2.0NRT",274.24,0.98,"N"
"137",50.34499,19.29662,310.46,0.44,0.38,2022-03-14,35,1,"VIIRS","n","2.0NRT",272.13,1.66,"N"
"138",50.34332,19.34044,302.95,0.44,0.38,2022-03-14,35,1,"VIIRS","n","2.0NRT",274.16,1.52,"N"
"139",51.68664,15.97994,296.14,0.39,0.44,2022-03-14,35,1,"VIIRS","n","2.0NRT",271.52,10.56,"N"
"140",51.05971,15.53026,312.8,0.4,0.44,2022-03-14,35,1,"VIIRS","n","2.0NRT",270.94,1.24,"N"
"141",50.45551,20.58746,296.5,0.41,0.37,2022-03-14,35,1,"VIIRS","n","2.0NRT",270.6,0.54,"N"
"142",50.41745,20.74095,295.82,0.41,0.37,2022-03-14,35,1,"VIIRS","n","2.0NRT",269.54,0.95,"N"
"143",50.45214,20.58632,307.45,0.41,0.37,2022-03-14,35,1,"VIIRS","n","2.0NRT",268.69,1.23,"N"
"144",50.92996,21.67358,313.44,0.4,0.37,2022-03-14,35,1,"VIIRS","n","2.0NRT",272.34,1.6,"N"
"145",50.798,19.1898,296.71,0.44,0.39,2022-03-14,35,1,"VIIRS","n","2.0NRT",270.88,1.05,"N"
"146",51.05907,15.53161,307.07,0.4,0.44,2022-03-14,35,1,"VIIRS","n","2.0NRT",271.35,1.68,"N"
"147",50.94703,21.45112,311.99,0.4,0.37,2022-03-14,35,1,"VIIRS","n","2.0NRT",272.65,1.42,"N"
"148",50.8271,20.26994,305.96,0.42,0.37,2022-03-14,35,1,"VIIRS","n","2.0NRT",270.05,1.43,"N"
"149",50.80721,20.53119,304.2,0.41,0.37,2022-03-14,35,1,"VIIRS","n","2.0NRT",271.42,1.27,"N"
"150",52.83965,22.98718,303.21,0.39,0.36,2022-03-14,35,1,"VIIRS","n","2.0NRT",268.31,0.58,"N"
"151",52.17246,14.61168,316.13,0.44,0.46,2022-03-14,35,1,"VIIRS","n","2.0NRT",275.08,3.07,"N"
"152",52.1668,10.42947,296.06,0.33,0.56,2022-03-14,35,1,"VIIRS","n","2.0NRT",273.18,0.52,"N"
"153",52.15745,10.40348,330.35,0.33,0.56,2022-03-14,35,1,"VIIRS","n","2.0NRT",276.5,2.96,"N"
"154",52.15726,10.40845,333.69,0.33,0.56,2022-03-14,35,1,"VIIRS","n","2.0NRT",275.1,2.28,"N"
"155",52.15763,10.39851,313.59,0.33,0.56,2022-03-14,35,1,"VIIRS","n","2.0NRT",275.4,2.96,"N"
"156",52.15248,10.39801,332.56,0.33,0.56,2022-03-14,35,1,"VIIRS","n","2.0NRT",274.23,2.12,"N"
"157",52.16222,10.41396,301.34,0.33,0.56,2022-03-14,35,1,"VIIRS","n","2.0NRT",273.86,2.28,"N"
"158",52.16203,10.41895,307.16,0.33,0.56,2022-03-14,35,1,"VIIRS","n","2.0NRT",276.1,1.47,"N"
"159",52.32069,10.24137,306.07,0.34,0.56,2022-03-14,35,1,"VIIRS","n","2.0NRT",272.98,0.7,"N"
